Feature: native-country | Value: Italy | Precision: 0.750 | Recall: 0.750 | F1: 0.750
Feature: native-country | Value: Cuba | Precision: 0.667 | Recall: 0.800 | F1: 0.727
Feature: native-country | Value: Iran | Precision: 0.333 | Recall: 0.200 | F1: 0.250
Feature: native-country | Value: Jamaica | Precision: 0.000 | Recall: 1.000 | F1: 0.000
Feature: native-country | Value: Haiti | Precision: 1.000 | Recall: 1.000 | F1: 1.000
Feature: native-country | Value: South | Precision: 0.333 | Recall: 0.500 | F1: 0.400
Feature: native-country | Value: Taiwan | Precision: 0.750 | Recall: 0.750 | F1: 0.750
Feature: native-country | Value: Dominican-Republic | Precision: 1.000 | Recall: 1.000 | F1: 1.000
Feature: native-country | Value: Ireland | Precision: 1.000 | Recall: 1.000 | F1: 1.000
Feature: native-country | Value: Japan | Precision: 0.750 | Recall: 0.750 | F1: 0.750
Feature: native-country | Value: Scotland | Precision: 1.000 | Recall: 1.000 | F1: 1.000
Feature: native-country | Value: India | Precision: 0.875 | Recall: 0.875 | F1: 0.875
Feature: native-country | Value: Trinadad&Tobago | Precision: 1.000 | Recall: 1.000 | F1: 1.000
Feature: native-country | Value: Hungary | Precision: 1.000 | Recall: 0.500 | F1: 0.667
Feature: native-country | Value: England | Precision: 0.667 | Recall: 0.500 | F1: 0.571
Feature: native-country | Value: Laos | Precision: 1.000 | Recall: 0.000 | F1: 0.000
Feature: native-country | Value: Hong | Precision: 0.500 | Recall: 1.000 | F1: 0.667
Feature: native-country | Value: Greece | Precision: 0.000 | Recall: 0.000 | F1: 0.000
Feature: native-country | Value: Portugal | Precision: 1.000 | Recall: 1.000 | F1: 1.000
Feature: native-country | Value: Guatemala | Precision: 1.000 | Recall: 1.000 | F1: 1.000
Feature: native-country | Value: China | Precision: 1.000 | Recall: 1.000 | F1: 1.000
Feature: native-country | Value: France | Precision: 1.000 | Recall: 1.000 | F1: 1.000
Feature: native-country | Value: Nicaragua | Precision: 1.000 | Recall: 1.000 | F1: 1.000
Feature: native-country | Value: Vietnam | Precision: 1.000 | Recall: 1.000 | F1: 1.000
Feature: native-country | Value: Thailand | Precision: 1.000 | Recall: 1.000 | F1: 1.000
Feature: native-country | Value: Peru | Precision: 0.000 | Recall: 0.000 | F1: 0.000
Feature: native-country | Value: Honduras | Precision: 1.000 | Recall: 1.000 | F1: 1.000
Feature: native-country | Value: Yugoslavia | Precision: 1.000 | Recall: 1.000 | F1: 1.000
